latin_species,n
Pterocles orientalis,1
Pterodroa longirostris,1
Pterodroma arminjoniana,3
Pterodroma barui,1
Pterodroma cahow,2
Pterodroma cervicalis,1
Pterodroma cookii,2
Pterodroma externa,1
Pterodroma feae,3
Pterodroma hasitata,2
Pterodroma incerta,1
Pterodroma inexpectata,3
Pterodroma lessonii,1
Pterodroma leucoptera,1
Pterodroma macroptera,3
Pterodroma madeira,1
Pterodroma mollis,1
Pterodroma neglecta,1
Pterodroma nigripennis,1
Pterodroma sandwichensis,2
Pterodroma solandri,2
Pterodroma ultima,2
Pteroglossus torquatus,1
Pterorhinus sannio,1
Ptilinopus cinctus,2
Ptilinopus magnificus,2
Ptilinopus regina,2
Ptilinopus superbus,2
Ptiliogonys cinereus,1
Ptilogonys cinereus,1
Ptilonorhynchus violaceus,2
Ptilopsis granti,1
Ptiloris magnificus,2
Ptiloris paradiseus,2
Ptiloris victoriae,2
Ptychoramphus aleuticus,3
Ptyonoprogne rupestris,1
Puffinus assimilis,1
Puffinus baroli,3
Puffinus bulleri,2
Puffinus carneipes,2
Puffinus creatopus,2
Puffinus gavia,1
Puffinus gravis,3
Puffinus griseus,4
Puffinus huttoni,1
Puffinus Iherminieri,2
Puffinus lherminieri,1
Puffinus mauretanicus,2
Puffinus opisthomelas,1
Puffinus opsthomelas,1
Puffinus pacificus,2
Puffinus puffinus,9
Puffinus tenuirostris,2
Pulsatrix perspicillata,1
Purpureicephalus spurius,2
Pycnonotus ariceps,1
Pycnonotus cafer,1
Pycnonotus jocosus,5
Pycnonotus sinensis,1
Pycnonotus tricolor,1
Pycnoptilus floccosus,2
Pygoscelis adelidae,1
Pygoscelis antarctica,1
Pygoscelis papua,1
Pylloscopus pulcher,1
Pyonoprogne rupestris,1
Pyrocephalus rubinus,4
Pyrrhocorax,1
Pyrrhocorax graculus,2
Pyrrhocorax pyrrhocorax,5
Pyrrholaemus brunneus,1
Pyrrhula phrrhula,1
Pyrrhula pyrrhula,9
Pyrrhuloxia sinuata,1
Quiscalus major,3
Quiscalus mexicanus,3
Quiscalus quiscula,3
Rallina fasciata,2
Rallina tricolor,2
Rallus aquaticus,6
Rallus crepitans,2
Rallus elegans,3
Rallus limicola,3
Rallus longirostris,1
Rallus obsoletus,3
Rallus pectoralis,1
Ramphastos sulfuratus,1
Ramphocaenus rufiventris,1
Ramphocelus passerinii,1
Ramsayornis fasciatus,2
Ramsayornis modestus,2
Recurvirostra americana,3
Recurvirostra avosetta,9
Recurvirostra novaehollandiae,2
Regulus calendula,3
Regulus ignicapilla,2
Regulus ignicapillus,4
Regulus regulus,9
Regulus satrapa,3
Remiz pendulinus,2
Rhidipura fuliginosa,1
Rhidipura leucophrys,1
Rhidipura rudifrons,1
Rhidipura rufiventris,1
Rhinopomastus cyanomelas,1
Rhinoptilus chalcopterus,1
Rhinoptyx clamator,1
Rhipidura fuliginosa,1
Rhipidura leucophrys,1
Rhipidura phasiana,1
Rhipidura rufifrons,1
Rhipidura rufiventris,1
Rhodinocichla rosea,1
Rhodostethia rosea,5
Rhodothraupis celaeno,2
Rhynchocyclus brevirostris,1
Rhynchophanes mccownii,3
Rhynchopsitta pachyrhyncha,3
Rhytipterna holerythra,1
Richmondena cardinalis,1
Ridgwayia pinicola,3
Riparia riparia,11
Rissa brevirostris,2
Rissa tridactyla,11
Rostratula benghalensis,2
Rostrhamus sociabilis,3
Rupornis magnirostris,1
Rynchops niger,3
Sagittarius serpentarius,1
Salpinctes obsoletus,4
Saltator atriceps,1
Saltator coerulescens,1
Saltator maximus,1
Saxicola maurus,1
Saxicola rubetra,7
Saxicola rubicola,1
Saxicola torquata,6
Saxicola torquatus,3
Sayornis nigricans,3
Sayornis phoebe,3
Sayornis saya,3
Scaphidura oryzivora,1
Scardafella inca,1
Scenopoeetes dentirostris,2
Schiffornis turdinus,1
Scleroptila shelleyi,1
Sclerurus guatemalensis,1
Sclerurus mexicanus,1
Scolopax minor,3
Scolopax rusticola,7
Scopus umbretta,1
Scotopelia peli,1
Scythrops novaehollandiae,2
Seicercus valentini,1
Seiurus aurocapilla,4
Selasphorus calliope,3
Selasphorus platycercus,3
Selasphorus rufus,3
Selasphorus sasin,3
Sericornis beccarii,2
Sericornis brunneus,1
Sericornis cautus,1
Sericornis citreogularis,2
Sericornis frontalis,2
Sericornis fuliginosus,1
Sericornis humilis,1
Sericornis keri,2
Sericornis magnirostris,2
Sericornis magnus,1
Sericornis pyrrhopygius,1
Sericornis sagittatus,1
Sericulus chrysocephalus,2
Serinus citrinella,1
Serinus mozambicus,1
Serinus serinus,6
Serna bengalensis,1
Setophaga americana,4
Setophaga caerulescens,3
Setophaga castanea,3
Setophaga cerulea,3
Setophaga chrysoparia,3
Setophaga citrina,3
Setophaga coonata,1
Setophaga coronata,3
Setophaga discolor,3
Setophaga dominica,3
Setophaga fusca,4
Setophaga graciae,3
Setophaga kirtlandii,3
Setophaga magnolia,3
Setophaga nigrescens,3
Setophaga occidentalis,3
Setophaga palmarum,3
Setophaga pensylvanica,3
Setophaga petechia,4
Setophaga pinus,3
Setophaga pitiayumi,2
Setophaga ruticilla,4
Setophaga striata,4
Setophaga tigrina,2
Setophaga townsendi,3
Setophaga virens,3
Sialia currucoides,3
Sialia mexicana,3
Sialia sialis,4
Sicalis luteola,1
Sitta canadensis,3
Sitta carolenensis,1
Sitta carolinensis,2
Sitta europaea,10
Sitta krueperi,1
Sitta neumayer,1
Sitta pusilla,3
Sitta pygmaea,3
Sitta whiteheadi,1
Sittasomus griseicapillus,1
Siva cyanouroptera,1
Smaragdolanius pulchellus,1
Smicrornis brevirostris,2
Smooth-billed Ani,1
Somateria fischeri,2
Somateria mollissima,9
Somateria spectabilis,4
Southern Emu-wren,1
Spatula clypeata,1
Spatula cyanoptera,1
Spatula discors,1
Spermestes cucullata,1
Sphecotheres viridis,2
Spheniscus magellanicus,1
Sphyrapicus nuchalis,3
Sphyrapicus ruber,3
Sphyrapicus thyroideus,3
Sphyrapicus varius,3
Spindalis zena,3
Spinus atriceps,1
Spinus lawrencei,3
Spinus pinus,2
Spinus psaltria,3
Spinus spinus,2
Spinus tristis,3
Spiza americana,3
Spizaetus ornatus,1
Spizaetus tyrannus,1
Spizella arborea,1
Spizella atrogularis,3
Spizella breweri,3
Spizella pallida,3
Spizella passerina,3
Spizella pusilla,3
Spizelloides arborea,2
Spizixos crinifrons,1
Spnus spinus,1
Sporophila aurita (corvina),1
Sporophila minuta,1
Sporophila torqueola,3
Stachyris chrysaea,1
Stachyris nigriceps,1
Stachyris striolata,1
Stactocichla merulina,1
Stagonopleura bella,1
Stagonopleura bellum,1
Stagonopleura guttata,2
Stagonopleura oculata,2
Staphida castaniceps,1
Steganopus tricolor,1
Stelgidopteryx serripennis,2
Stelgiopteryx serripennis,1
Stercorarius longicaudus,6
Stercorarius maccormicki,2
Stercorarius parasiticus,9
Stercorarius pomarinus,6
Stercorarius skua,5
Sterna albifrons,7
Sterna anaethetus,1
Sterna bengalensis,2
Sterna bergii,1
Sterna caspia,2
Sterna dougallii,9
Sterna forsteri,3
Sterna fosteri,1
Sterna fuscata,2
Sterna hirundo,14
Sterna nereis,1
Sterna nilotica,1
Sterna paradisaea,11
Sterna sandvicensis,8
Sterna striata,2
Sterna sumantrana,1
Sterna vittata,1
Sternula albifrons,2
Sternula antillarum,3
Stictonetta naevosa,1
Stiltia isabella,1
Stipiturus malachrus,1
Stipiturus mallee,1
Stipiturus ruficeps,2
Stophaga tigrina,1
Strepera fuliginosa,2
Strepera graculina,2
Strepera versicolor,2
Strepopelia decaocto,1
Streptopelia capicola,1
Streptopelia chinensis,4
Streptopelia decaocto,11
Streptopelia decipiens,1
Streptopelia orientalis,4
Streptopelia roseogrisea,2
Streptopelia semitorquata,1
Streptopelia senegalensis,4
Streptopelia tranquebarica,1
Streptopelia turtur,8
Streptoprocne zonaris,3
Streptpelia chinensis,1
Strix aluco,9
Strix fulvescens,1
Strix nebulosa,4
Strix occidentalis,3
Strix uralensis,1
Strix varia,3
Strix woodfordii,1
Strna paradisaea,1
Struthidea cinerea,2
Struthio camelus,2
Sturnella magna,3
Sturnella neglecta,3
Sturnus roseus,1
Sturnus sinensis,1
Sturnus unicolor,1
Sturnus vulgaris,15
Sula bassana,3
Sula dactylatra,4
Sula granti,1
Sula leucogaster,4
Sula nebouxii,3
Sula sula,4
Surnia ulula,5
Suthora verreauxi,1
Suthora webbianus,1
Sylvia atricapilla,9
Sylvia borin,8
Sylvia cantillans,2
Sylvia communis,9
Sylvia conspicillata,2
Sylvia curruca,7
Sylvia hortensis,3
Sylvia inornata,1
Sylvia melanocephala,3
Sylvia mystacea,1
Sylvia nana,2
Sylvia nisoria,3
Sylvia ruepelli,1
Sylvia rueppelli,1
Sylvia sarda,2
Sylvia undata,5
Sylvietta rufescens,1
Syma torotoro,2
Synallaxis erythrothorax,1
Synthliboramphus antiquus,3
Synthliboramphus craveri,2
Synthliboramphus hypoleucus,2
Synthliboramphus scrippsi,2
Syrrhaptes paradoxus,2
Tachybaptus dominicus,3
Tachybaptus novaehollandiae,1
Tachybaptus novaehollandidae,1
Tachybaptus ruficollis,9
Tachycineta (Iridoprocne) albilinea,1
Tachycineta albilinea,1
Tachycineta bicolor,3
Tachycineta cyaneoviridis,2
Tachycineta thalassina,3
Tadorna ferruginea,3
Tadorna radjah,2
Tadorna tadorna,8
Tadorna tadornoides,1
Taeniopygia bichenovii,2
Taeniopygia guttata,2
Tangara cabanisi,1
Tangara larvata,1
Tanysiptera galatea,1
Tanysiptera sylvia,2
Tapera naevia,1
Taraba major,1
Tarsiger cyanurus,3
Tasiger cyanurus,1
Tchagra australis,1
Tchagra senegalus,1
Tchymarptis (Apus) melba,1
Temnurus temnurus,1
Teraogallus himalayensis,1
Terenotriccus erythrurus,1
Terpsiphone viridis,1
Tetrao tetrix,4
Tetrao urogallus,4
Tetraogallus himalayensis,1
Tetrax tetrax,2
Thalassarche cauta,1
Thalassarche chlororhynchos,2
Thalassarche eremita,1
Thalassarche melanophris,2
Thalassarche melanphris,1
Thalassarche salvini,1
Thalasseus elegans,3
Thalasseus maximus,3
Thalasseus sandvicensis,3
Thalassoica antarctica,1
Thalurania furcata,1
Thamnistes anabatinus,1
Thamnolaea cinnamomeiventris,1
Thamnophilus doliatus,1
Thamnophilus punctatus,1
Thectocercus acuticaudatus,2
Thraupis abbas,1
Thraupis episcopus,1
Threskiornis aethiopicus,1
Threskiornis molucca,1
Threskiornis spinicollis,2
Threskiorns aethiopica,1
Thryomanes bewickii,3
Thryophilus sinaloa,2
Thryothorus bewickii,1
Thryothorus felix,1
Thryothorus ludovicianus,4
Thryothorus maculipectus,1
Thryothorus modestus,1
Thryothorus pleurostictus,1
Thryothorus rufalbus,1
Tiaris bicolor,2
Tiaris olivacea,1
Tiaris olivaceus,2
Tichodroma muraria,2
Tigrisoma lineatum,1
Tigrisoma mexicanum,1
Tinamus major,1
Tinga hypoleucos,1
Tityra inquisitor,1
Tityra semifasciata,1
Tockus alboterminatus,1
Tockus leucomelas,1
Tockus nasutus,1
Tockus rufirostris,1
Todiramphus chloris,1
Todiramphus macleayii,1
Todiramphus pyrrhopygia,1
Todiramphus sanctus,1
Todirostrum cinereum,1
Todirostrum sylvia,1
Tolmomyias sulphurescens,1
Toxostoma bendirei,3
Toxostoma crissale,3
Toxostoma curvirostre,4
Toxostoma lecontei,3
Toxostoma longirostre,4
Toxostoma ocellatum,1
Toxostoma redivivum,3
Toxostoma rufum,3
Trachyphonus vaillantii,1
Tregellasia capita,1
Tregellasia capito,1
Tregellasia leucops,1
Tregellasia leucps,1
Trichodere cockerelli,2
Trichoglossus chlorolepidotus,2
Trichoglossus haematodus,2
Trichoglossus rubritorquis,1
Tricholaema leucomelas,1
Tringa (Actitis) hypoleucos,1
Tringa (Xenus) cinereus,1
Tringa brevipes,3
Tringa erythropus,9
Tringa flavipes,7
Tringa glareola,10
Tringa Glareola,1
Tringa guttifer,2
Tringa incana,4
Tringa melanoleuca,6
Tringa nebularia,13
Tringa ochropus,10
Tringa semipalmata,3
Tringa solitaria,5
Tringa stagnatilis,6
Tringa totanus,12
Trochalopteron affine,1
Trochalopteron subunicolor,1
Troglodytes aedon,4
Troglodytes hiemalis,3
Troglodytes muculus,1
Troglodytes pacificus,3
Troglodytes rufociliatus,1
Troglodytes troglodytes,9
Trogon citreolus,1
Trogon collaris,1
Trogon elegans,4
Trogon massena,1
Trogon mexicanus,1
Trogon violaceus,1
Tryngites subruficollis,4
Turdus assimilis,3
Turdus atrogularis,1
Turdus eunomus,2
Turdus grayi,3
Turdus iliacus,11
Turdus infuscatus,1
Turdus libonyanus,1
Turdus litsitsirupa,1
Turdus mandarinus,1
Turdus merula,11
Turdus migratorius,6
Turdus naumanni,3
Turdus obscurus,5
Turdus philomelos,11
Turdus pilaris,11
Turdus plebejus,1
Turdus ruficollis atrogularis,1
Turdus rufitorques,1
Turdus rufopalliatus,3
Turdus torquatus,6
Turdus viscivorus,9
Turnix castanota,1
Turnix maculosa,1
Turnix melanogaster,1
Turnix olivii,1
Turnix pyrrhothorax,1
Turnix sylvatica,1
Turnix sylvaticus,1
Turnix varia,1
Turnix velox,1
Turtur chalcospilos,1
Turtur tympanistria,1
Tympanuchus cupido,3
Tympanuchus pallidicinctus,3
Tympanuchus phasianellus,3
Tyranniscus vilissimus,1
Tyrannus caudiasciatus,1
Tyrannus caudifasciatus,1
Tyrannus couchii,3
Tyrannus crassirostris,3
Tyrannus dominicensis,2
Tyrannus forficatus,3
Tyrannus melancholicus,4
Tyrannus savana,2
Tyrannus tyrannus,3
Tyrannus verticalis,4
Tyrannus vociferans,4
Tyto alba,15
Tyto capensis,1
Tyto capnsis,1
Tyto multipunctata,2
Tyto novaehollandiae,1
Tyto novaeollandiae,1
Tyto tenebricosa,2
Upupa africana,1
Upupa epops,7
Uraeginthus angolensis,1
Uraeginthus granatinus,1
Uria aalge,10
Uria lomvia,5
Urocissa erythrorhyncha,1
Urocolius indicus,1
Uropsila leucogastra,1
Vanellus coronatus,1
Vanellus gregarius,1
Vanellus indicus,1
Vanellus leucurus,1
Vanellus lugubris,1
Vanellus miles,2
Vanellus vanellus,11
Venellus tricolor,1
Veniliornis fumigatus,1
Vermivora chrysoptera,3
Vermivora cyanoptera,3
Vermivora superciliosa,1
Vidua macroura,1
Vireo altiloquus,3
Vireo aolivaceus,2
Vireo atricapilla,3
Vireo bairdi,1
Vireo bellii,3
Vireo cassinii,3
Vireo crassirostris,2
Vireo flavifrons,3
Vireo flavoviridis,2
Vireo gilvus,3
Vireo griseus,3
Vireo huttoni,3
Vireo hypochryseus,1
Vireo leucophrys,1
Vireo magister,1
Vireo olivaceus,2
Vireo pallens,1
Vireo philadelphicus,4
Vireo plumbeus,3
Vireo solitarius,4
Vireo vicinior,3
Volatinia jacarina,1
Vreo flavoviridis,1
Xanthocephalus xanthocephalus,3
Xanthomyza phrygia,2
Xanthotis flaviventer,2
Xanthotis macleayana,2
Xema sabini,4
Xenops minutus,1
Xenospiza baileyi,1
Xenotriccus callizonus,1
Xenus cinereus,6
Xiphocalaptes promeropirhynchus,1
Xiphorhynchus erythropygius,1
Xiphorhynchus flavigaster,1
Xiphorhynchus guttatus,1
Yuhina gularis,1
Yuhina nigrimenta,1
Yuhina occipitalis,1
Zanaida macroura,1
Zarhynchus wagleri,1
Zenaida asiatica,4
Zenaida aurita,3
Zenaida macroura,2
Zenaida marowura,1
Zonotrichia albicollis,4
Zonotrichia atricapilla,3
Zonotrichia capensis,1
Zonotrichia leucophhrys,1
Zonotrichia leucophrys,4
Zonotrichia querula,3
Zoothera citrina,1
Zoothera dauma,3
Zoothera heinei,1
Zoothera lunulata,1
Zoothera mollissima,1
Zoothera sibiricus,1
Zosterops citrinella,1
Zosterops citrinellus,1
Zosterops lateralis,2
Zosterops lutea,1
Zosterops luteus,1
Zosterops virens,1
