latin_species,n
Botaurus lentiginosus,4
Botaurus poiciloptilus,2
Botaurus stellaris,6
Brachyamphus perdix,1
Brachypteryx montana,1
Brachyramphus brevirostris,2
Brachyramphus marmoratus,3
Brachyramphus perdix,1
Bradypterus baboecala,1
Branta bernicla,9
Branta bernicla nigricans,1
Branta canadensis,12
Branta hutchinsii,3
Branta hutchnsii,1
Branta leucopsis,7
Branta ruficollis,2
Brotogeris chiriri,2
Brotogeris jugularis,1
Brotogeris versicolurus,2
Bubo africanus,1
Bubo bubo,3
Bubo lacteus,1
Bubo scandiacus,5
Bubo virginianus,4
Bubulcus ibis,5
Bucanetes githaginea,1
Bucanetes githagineus,1
Bucephala albeola,3
Bucephala clangula,9
Bucephala islandica,4
Buceros bicornis,1
Bucorvus leadbeateri,1
Buephala albeola,1
Bulweria bulwerii,3
Bulweria fallax,1
Buphagus erythrorhynchus,1
Burhinus bistriatus,1
Burhinus grallarus,1
Burhinus oedicnemus,6
Busarellus nigricollis,1
Buteo albicaudatus,2
Buteo albonotatus,4
Buteo brachyurus,2
Buteo buteo,9
Buteo jamaicensis,3
Buteo lagopus,6
Buteo lagous,1
Buteo lineatus,3
Buteo magnirostris,2
Buteo nitidus,1
Buteo plagiatus,3
Buteo platypterus,3
Buteo regalis,3
Buteo swainsoni,3
Buteogallus (Hypomorphnus) urubitinga,1
Buteogallus anthracinus,3
Butorides striata,1
Butorides striatus,1
Butorides virescens,4
Bycanistes bucinator,1
Cacatua galerita,3
Cacatua leadbeateri,2
Cacatua pastinator,2
Cacatua roseicapilla,2
Cacatua sanguinea,1
Cacatua tenuirostris,2
Cacomantis castaneiventris,1
Cacomantis flabelliformis,1
Cacomantis variolosus,1
Cairina moschata,3
Calamanthus campestris,1
Calamanthus fuliginosus,1
Calamonastes stierlingi,1
Calamospiza melanocorys,3
Calandrella brachydactyla,1
Calandrella cinerea,2
Calandrella rufescens,1
Calcarius Iapponicus,1
Calcarius lapponicus,5
Calcarius ornatus,3
Calcarius pictus,3
Calendulauda africanoides,1
Calendulauda sabota,1
Calidris acuminata,6
Calidris alba,10
Calidris alpina,12
Calidris bairdii,6
Calidris canutus,11
Calidris falcinellus,1
Calidris ferruginea,9
Calidris fuscicollis,6
Calidris himantopus,4
Calidris maritima,8
Calidris mauri,5
Calidris melanotos,8
Calidris minuta,9
Calidris minutilla,5
Calidris paramelanotos,2
Calidris ptilocnemis,3
Calidris pugnax,2
Calidris pusilla,5
Calidris pygmea,1
Calidris ruficollis,5
Calidris subminuta,5
Calidris subruficollis,3
Calidris temminckii,6
Calidris tenuirostris,5
Calidris virgata,3
Caliepepla squamata,1
Caliidris pugnax,1
Calliope calliope,1
Callipepla californica,4
Callipepla gambelii,2
Callipepla gambelli,1
Callipepla squamata,2
Calliphlox evelynae,1
Callocephalon fimbriatum,2
Calocitta colliei,1
Calocitta formosa,1
Calocitta formosa colliei,1
Calonctris leucomelas,1
Calonectris borealis,1
Calonectris diomeda,1
Calonectris diomedea,2
Calonectris edwardsii,1
Calonectris leucomelas,2
Calothorax lucifer,3
Calptyorhynchus funereus,1
Calypte ana,1
Calypte anna,2
Calypte costae,3
Calyptorhynchus banksii,2
Calyptorhynchus baudinii,1
Calyptorhynchus funereus,1
Calyptorhynchus lathami,2
Calyptorhynchus latirostris,1
Camaroptera brachyura,1
Camaroptera brevicaudata,1
Campephaga flava,1
Campephilus (Phloeoceastes) guatemalensis,1
Campephilus principalis,2
Campethera abingoni,1
Campethera bennettii,1
Camptostoma imberbe,4
Campylopterus curvipennis,1
Campylopterus hemileucurus,1
Campylorhynchus brunneicapillus,4
Campylorhynchus megalopterus,1
Campylorhynchus rufinucha,1
Campylorhynchus yucatanicus,1
Campylorhynchus zonatus,1
Caprimulgus aegyptius,1
Caprimulgus europaeus,6
Caprimulgus fossii,1
Caprimulgus macrurus,2
Caprimulgus maculicaudus,1
Caprimulgus mystacalis,1
Caprimulgus pectoralis,1
Caprimulgus ridgwayi,1
Caprimulgus ruficollis,1
Caprimulgus rufigena,1
Caprimulgus salvini,1
Caprimulgus tristigma,1
Caprimulgus vexillarius,1
Caracara cheriway,3
Caracara plancus,1
Cardellina canadensis,3
Cardellina pusilla,3
Cardellina rubifrons,1
Cardellina rubrifrons,3
Cardinalis cardinalis,3
Cardinalis sinuatus,3
Carduelis cabaret,3
Carduelis cannabina,6
Carduelis carduelis,12
Carduelis chloris,10
Carduelis flammea,3
Carduelis flavirostris,4
Carduelis hornemanni,1
Carduelis sinica,1
Carduelis spinus,8
Carpodacus erythrinus,4
Carpodacus thura,1
Caryothraustes poliogaster,1
Cassiculus melanicterus,1
Cassidix mexicanus,1
Casuarius casuarius,1
Catharacta maccormicki,1
Catharacta skua,2
Cathartes aura,4
